region,state,2018,2019,2020,label,type,USregion
"Buffalo, NY",NY,38116,37659,29086,all,inventory,Northeast
"Raleigh, NC",NC,88324,97647,82193,all,inventory,Southeast
"Birmingham, AL",AL,80990,75519,63149,all,inventory,Southeast
"Salt Lake City, UT",UT,49308,55584,41993,all,inventory,West
"Rochester, NY",NY,43348,40344,31893,all,inventory,Northeast
"Grand Rapids, MI",MI,46355,49156,39750,all,inventory,Midwest
"Tucson, AZ",AZ,58309,58052,47678,all,inventory,Southwest
"Tulsa, OK",OK,72816,62509,50160,all,inventory,Southwest
"Fresno, CA",CA,28588,30632,22283,all,inventory,West
"Worcester, MA",MA,42545,41190,30008,all,inventory,Northeast
"Stamford, CT",CT,79851,80066,66363,all,inventory,Northeast
"Albuquerque, NM",NM,49917,45258,34911,all,inventory,Southwest
"Albany, NY",NY,35049,33994,25953,all,inventory,Northeast
"Omaha, NE",NE,44583,44301,38442,all,inventory,Midwest
"New Haven, CT",CT,49990,46772,35771,all,inventory,Northeast
"Bakersfield, CA",CA,38214,38506,31796,all,inventory,West
"Knoxville, TN",TN,57677,54870,42762,all,inventory,Southeast
"Ventura, CA",CA,26842,28028,21777,all,inventory,West
"Allentown, PA",PA,50620,47370,33787,all,inventory,Northeast
"El Paso, TX",TX,51634,46237,39152,all,inventory,Southwest
"Baton Rouge, LA",LA,60108,64465,54413,all,inventory,Southeast
"Dayton, OH",OH,39030,33311,26265,all,inventory,Midwest
"Greensboro, NC",NC,34711,31000,25178,all,inventory,Southeast
"Akron, OH",OH,52061,48258,37364,all,inventory,Midwest
"North Port-Sarasota-Bradenton, FL",FL,115202,117060,99692,all,inventory,Southeast
"Little Rock, AR",AR,66149,60966,51706,all,inventory,Southeast
"Charleston, SC",SC,79765,85424,72634,all,inventory,Southeast
"Syracuse, NY",NY,34693,30730,21013,all,inventory,Northeast
"Colorado Springs, CO",CO,37470,39700,38617,all,inventory,West
"Winston-Salem, NC",NC,33983,30161,24880,all,inventory,Southeast
"Wichita, KS",KS,34189,31393,25434,all,inventory,Midwest
"Springfield, MA",MA,25052,23577,17820,all,inventory,Northeast
"Fort Myers, FL",FL,185302,192667,153089,all,inventory,Southeast
